คำนำหน้า,ชื่อ,นามสกุล,พรรค,"การลงมติ
เห็นชอบ (1) 
ไม่เห็นชอบ (2)
งดออกเสียง (3)"
นาย,สุรทิน,พิจารณ์,ประชาธิปไตยใหม่,2
พลเอก,สุรพงษ์,สุวรรณอัตถ์,ส.ว.,3
นาย,สุรพจน์,เตาะเจริญสุข,เพื่อไทย,1
พลตำรวจตรี,สุรพล,บุญมา,เพื่อไทย,1
นาย,สุรพันธ์,ไวยากรณ์,ก้าวไกล,1
นาย,สุรวาท,ทองบุ,ก้าวไกล,1
พลเอก,สุรศักดิ์,กาญจนรัตน์,ส.ว.,3
นาย,สุรศักดิ์,พันธ์เจริญวรกุล,ภูมิใจไทย,2
นาย,สุรสิทธิ์,ตรีทอง,ส.ว.,2
พลตำรวจตรี,สุรินทร์,ปาลาเร่,ประชาธิปัตย์,3
นาย,สุริยะ,จึงรุ่งเรืองกิจ,เพื่อไทย,1
นาย,สุไลมาน,บือแนปีแน,ประชาชาติ,1
นาย,สุวพันธ์ุ,ตันยุวรรธนะ,ส.ว.,3
นาย,สุวรรณ,เลิศปัญญาโรจน์,ส.ว.,3
นาย,สุวรรณา,กุมภิโร,ภูมิใจไทย,2
นาง,สุวรรณี,สิริเวชชะพันธ์,ส.ว.,3
นาย,สุวัฒน์,จิราพันธุ์,ส.ว.,3
นาย,เสมอกัน,เที่ยงธรรม,ชาติไทยพัฒนา,3
นาย,เสรี,สุวรรณภานนท์,ส.ว.,2
พลตำรวจเอก,เสรีพิศุทธ์,เตมียเวส,เสรีรวมไทย,1
นาย,โสภณ,ซารัมย์,ภูมิใจไทย,2
นาง,หทัยรัตน์,เพชรพนมพร,เพื่อไทย,1
นาย,หรั่ง,ธุระพล,ไทยสร้างไทย,1
พลเอก,อกนิษฐ์,หมื่นสวัสดิ์,ส.ว.,3
นาย,องค์การ,ชัยบุตร,ก้าวไกล,1
นาย,องอาจ,ฉัตรชัยพลรัตน์,ภูมิใจไทย,2
นาย,องอาจ,วงษ์ประยูร,พลังประชารัฐ,2
นาย,อดิพงษ์,ฐิติพิทยา,ภูมิใจไทย,2
นาย,อดิศร,เพียงเกษ,เพื่อไทย,1
พลอากาศเอก,อดิศักดิ์,กลั่นเสนาะ,ส.ว.,3
นาย,อดิศักดิ์,แก้วมุงคุณทรัพย์,ไทยสร้างไทย,1
พลตำรวจเอก,อดุลย์,แสงสิงแก้ว,ส.ว.,3
นาย,อนันต์,ผลอำนวย,พลังประชารัฐ,2
นาย,อนันต์,ปรีดาสุทธิจิตต์,เพื่อไทย,1
พลเอก,อนันตพร,กาญจนรัตน์,ส.ว.,3
นาย,อนุชา,นาคาศัย,รวมไทยสร้างชาติ,2
นาย,อนุชา,สะสมทรัพย์,ชาติไทยพัฒนา,3
นาย,อนุชา,บูรพชัยศรี,รวมไทยสร้างชาติ,2
นาย,อนุทิน,ชาญวีรกูล,ภูมิใจไทย,2
นาย,อนุพร,อรุณรัตน์,ส.ว.,3
นาย,อนุรักษ์,จุรีมาศ,ชาติไทยพัฒนา,3
นาย,อนุรัตน์,ตันบรรจง,พลังประชารัฐ,2
นาย,อนุศักดิ์,คงมาลัย,ส.ว.,2
นาย,อนุศาสน์,สุวรรณมงคล,ส.ว.,3
นาย,อนุสรณ์,แก้ววิเชียร,ก้าวไกล,1
นาย,อนุสรณ์,เอี่ยมสะอาด,เพื่อไทย,1
นาย,อนุสิษฐ,คุณากร,ส.ว.,2
นาย,อภิชา,เลิศพชรกมล,เพื่อไทย,1
นาย,อภิชาติ,โตดิลกเวชช์,ส.ว.,
จ่าอากาศเอก,อภิชาติ,แก้วโกศล,รวมไทยสร้างชาติ,2
นาย,อภิชาติ,ตีรสวัสดิชัย,เพื่อไทย,1
นาย,อภิชาติ,ศิริสุนทร,ก้าวไกล,1
นาง,อภิรดี,ตันตราภรณ์,ส.ว.,3
นาย,อภิสิทธิ์,ไล่สัตรูไกล,ก้าวไกล,1
นาย,อมร,นิลเปรม,ส.ว.,2
นาย,อมรเทพ,สมหมาย,เพื่อไทย,1
ว่าที่ร้อยตรีหญิง,อรพรรณ,จันตาเรือง,ก้าวไกล,1
นาย,อรรถกร,ศิริลัทธยากร,พลังประชารัฐ,2
นาย,อรรถพล,ไตรศรี,ภูมิใจไทย,2
นาย,อรรถพล,วงษ์ประยูร,เพื่อไทย,1
นาย,อลงกต,มณีกาศ,ภูมิใจไทย,2
พลอากาศเอก,อลงกรณ์,วัณณรถ,ส.ว.,
นาง,อวยพรศรี,เชาวลิต,ประชาธิปัตย์,3
นาย,ออน,กาจกระโทก,ส.ว.,2
พลเอก,อักษรา,เกิดผล,ส.ว.,3
นาย,อัคร,ทองใจสด,พลังประชารัฐ,2
นาย,อัครเดช,วงษ์พิทักษ์โรจน์,รวมไทยสร้างชาติ,2
นาย,อัครนันท์,กัณณ์กิตตินันท์,เพื่อไทย,1
นาย,อัครแสนคีรี,โล่ห์วีระ,พลังประชารัฐ,2
นาย,อับดุลอายี,สาแม็ง,ประชาชาติ,1
นาย,อับดุลฮาลิม,มินซาร์,ส.ว.,3
พลเอก,อาชาไนย,ศรีสุข,ส.ว.,3
นาย,อาทิตย์,หวังศุภกิจโกศล,เพื่อไทย,1
นาย,อานุภาพ,ลิขิตอำนวยชัย,ก้าวไกล,1
นาย,อามินทร์,มะยูโซ๊ะ,พลังประชารัฐ,2
นาย,อาสพลธ์,สรรณ์ไตรภพ,ภูมิใจไทย,2
นาย,อำนาจ,วิลาวัลย์,ภูมิใจไทย,2
พลโท,อำพน,ชูประทุม,ส.ว.,3
นาย,อำพล,จินดาวัฒนะ,ส.ว.,1
พลเรือเอก,อิทธิคมน์,ภมรสูต,ส.ว.,3
นาย,อิทธิพล,ชลธราศิริ,ก้าวไกล,1
นาย,อุดม,วรัญญูรัฐ,ส.ว.,
พลเอก,อุดมชัย,ธรรมสาโรรัชต์,ส.ว.,2
นาย,อุปกิต,ปาจรียางกูร,ส.ว.,
พลเอก,อู้ด,เบื้องบน,ส.ว.,3
นาย,เอกธนัช,อินทร์รอด,เพื่อไทย,1
นาย,เอกนัฏ,พร้อมพันธุ์,รวมไทยสร้างชาติ,2
นาย,เอกราช,อุดมอานวย,ก้าวไกล,1
นาย,เอกราช,ช่างเหลา,ภูมิใจไทย,2
นางสาว,แอนศิริ,วลัยกนก,ก้าวไกล,1
นาย,โอชิษฐ์,เกียรติก้องชูชัย,เพื่อไทย,1
พลตรี,โอสถ,ภาวิไล,ส.ว.,3
